e:joy >>> 😀 ,😀
e:curling_stone >>> 🥌 ,🥌
e:skateboard >>> 🛹 ,🛹
e:surfboard >>> 🏄 ,🏄
e:kayak >>> 🛶 ,🛶
e:mountain_bicycle >>> 🚵 ,🚵
e:trophy >>> 🏆 ,🏆
e:medal_sports >>> 🏅 ,🏅
e:medal_military >>> 🎖️ ,🎖️
e:sports_medal >>> 🏅 ,🏅
e:running_shoe >>> 👟 ,👟
e:bow_and_arrow >>> 🏹 ,🏹
e:house >>> 🏠 ,🏠
e:house_with_garden >>> 🏡 ,🏡
e:office_building >>> 🏢 ,🏢
e:post_office >>> 🏣 ,🏣
e:hospital >>> 🏥 ,🏥
e:bank >>> 🏦 ,🏦
e:hotel >>> 🏨 ,🏨
e:love_hotel >>> 🏩 ,🏩
e:convenience_store >>> 🏪 ,🏪
e:school >>> 🏫 ,🏫
e:department_store >>> 🏬 ,🏬
e:factory >>> 🏭 ,🏭
e:japanese_castle >>> 🏯 ,🏯
e:european_castle >>> 🏰 ,🏰
e:wedding >>> 💒 ,💒
e:tokyo_tower >>> 🗼 ,🗼
e:statue_of_liberty >>> 🗽 ,🗽
e:church >>> ⛪ ,⛪
e:mosque >>> 🕌 ,🕌
e:synagogue >>> 🕍 ,🕍
e:hindu_temple >>> 🛕 ,🛕
e:pagoda >>> 🏯 ,🏯
e:shinto_shrine >>> ⛩️ ,⛩️
e:kaaba >>> 🕋 ,🕋
e:building_construction >>> 🏗️ ,🏗️
e:houses >>> 🏘️ ,🏘️
e:cityscape >>> 🏙️ ,🏙️
e:city_sunset >>> 🌇 ,🌇
e:city_dusk >>> 🌆 ,🌆
e:bridge_at_night >>> 🌉 ,🌉
e:castle >>> 🏰 ,🏰
e:stadium >>> 🏟️ ,🏟️
e:ballet_shoes >>> 🩰 ,🩰
e:roller_skate >>> 🛼 ,🛼
e:one_piece_swimsuit >>> 👙 ,👙
e:briefs >>> 🩲 ,🩲
e:shorts >>> 🩳 ,🩳
e:hiking_boot >>> 🥾 ,🥾
e:lab_coat >>> 🥼 ,🥼
e:safety_vest >>> 🦺 ,🦺
e:scarf >>> 🧣 ,🧣
e:gloves >>> 🧤 ,🧤
e:coat >>> 🧥 ,🧥
e:socks >>> 🧦 ,🧦
e:dress >>> 👗 ,👗
e:kimono >>> 👘 ,👘
e:sari >>> 🥻 ,🥻
e:one_piece_swimsuit >>> 👙 ,👙
e:briefs >>> 🩲 ,🩲
e:shorts >>> 🩳 ,🩳
e:tuxedo >>> 🤵 ,🤵
e:sari >>> 🥻 ,🥻
e:kimono >>> 👘 ,👘
e:bikini >>> 👙 ,👙
e:womans_clothes >>> 👚 ,👚
e:purse >>> 👛 ,👛
e:handbag >>> 👜 ,👜
e:pouch >>> 👝 ,👝
e:shopping_bags >>> 🛍️ ,🛍️
e:backpack >>> 🎒 ,🎒
e:man_shoe >>> 👞 ,👞
e:running_shoe >>> 👟 ,👟
e:hiking_boot >>> 🥾 ,🥾
e:flat_shoe >>> 🥿 ,🥿
e:high_heeled_shoe >>> 👠 ,👠
e:womans_sandal >>> 👡 ,👡
e:ballet_shoes >>> 🩰 ,🩰
e:womans_hat >>> 👒 ,👒
e:top_hat >>> 🎩 ,🎩
e:graduation_cap >>> 🎓 ,🎓
e:billed_cap >>> 🧢 ,🧢
e:military_helmet >>> 🪖 ,🪖
e:rescue_worker_helmet >>> ⛑️ ,⛑️
e:prayer_beads >>> 📿 ,📿
e:lipstick >>> 💄 ,💄
e:ring >>> 💍 ,💍
e:gem_stone >>> 💎 ,💎
e:muted_speaker >>> 🔇 ,🔇
e:speaker_low_volume >>> 🔈 ,🔈
e:speaker_medium_volume >>> 🔉 ,🔉
e:speaker_high_volume >>> 🔊 ,🔊
e:megaphone >>> 📣 ,📣
e:postal_horn >>> 📯 ,📯
e:bell >>> 🔔 ,🔔
e:musical_score >>> 🎼 ,🎼
e:musical_note >>> 🎵 ,🎵
e:musical_notes >>> 🎶 ,🎶
e:studio_microphone >>> 🎙️ ,🎙️
e:level_slider >>> 🎚️ ,🎚️
e:control_knobs >>> 🎛️ ,🎛️
e:microphone >>> 🎤 ,🎤
e:headphone >>> 🎧 ,🎧
e:radio >>> 📻 ,📻
e:saxophone >>> 🎷 ,🎷
e:guitar >>> 🎸 ,🎸
e:musical_keyboard >>> 🎹 ,🎹
e:trumpet >>> 🎺 ,🎺
e:violin >>> 🎻 ,🎻
e:banjo >>> 🪕 ,🪕
e:drum >>> 🥁 ,🥁
e:long_drum >>> 🪘 ,🪘
e:accordion >>> 🪗 ,🪗
e:framed_picture >>> 🖼️ ,🖼️
e:artist_palette >>> 🎨 ,🎨
e:book >>> 📖 ,📖
e:notebook >>> 📓 ,📓
e:ledger >>> 📒 ,📒
e:page_facing_up >>> 📄 ,📄
e:newspaper >>> 📰 ,📰
e:books >>> 📚 ,📚
e:bookmark >>> 🔖 ,🔖
e:label >>> 🏷️ ,🏷️
e:money_bag >>> 💰 ,💰
e:yen_banknote >>> 💴 ,💴
e:dollar_banknote >>> 💵 ,💵
e:euro_banknote >>> 💶 ,💶
e:pound_banknote >>> 💷 ,💷
e:money_with_wings >>> 💸 ,💸
e:credit_card >>> 💳 ,💳
e:receipt >>> 🧾 ,🧾
e:chart_increasing >>> 📈 ,📈
e:chart_decreasing >>> 📉 ,📉
e:bar_chart >>> 📊 ,📊
e:clipboard >>> 📋 ,📋
e:pushpin >>> 📌 ,📌
e:paperclip >>> 📎 ,📎
e:straight_ruler >>> 📏 ,📏
e:triangular_ruler >>> 📐 ,📐
e:scissors >>> ✂️ ,✂️
e:file_cabinet >>> 🗄️ ,🗄️
e:wastebasket >>> 🗑️ ,🗑️
e:locked >>> 🔒 ,🔒
e:unlocked >>> 🔓 ,🔓
e:lock_with_ink_pen >>> 🔏 ,🔏
e:closed_lock_with_key >>> 🔐 ,🔐
e:key >>> 🔑 ,🔑
e:old_key >>> 🗝️ ,🗝️
e:hammer >>> 🔨 ,🔨
e:axe >>> 🪓 ,🪓
e:pick >>> ⛏️ ,⛏️
e:hammer_and_pick >>> ⚒️ ,⚒️
e:hammer_and_wrench >>> 🛠️ ,🛠️
e:dagger >>> 🗡️ ,🗡️
e:crossed_swords >>> ⚔️ ,⚔️
